guid,dsmn,ptk,stk,title,image_url,about,date_generated,download_title,download_url
"usdm-2000-03-21","usdm","2000","03-21","USDM for 2000-03-21","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-03-21.png","Ful worthy was he in his lordes werre, and thereto hadde he riden (no man ferre) as wel in cristendom as hethenesse, and evere honoured for his worthinesse.","2000-03-21","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-03-28","usdm","2000","03-28","USDM for 2000-03-28","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-03-28.png","","2000-03-28","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-04-04","usdm","2000","04-04","USDM for 2000-04-04","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-04-04.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2000-04-04","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-04-11","usdm","2000","04-11","USDM for 2000-04-11","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-04-11.png","","2000-04-11","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-04-18","usdm","2000","04-18","USDM for 2000-04-18","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-04-18.png","And specially, from every shires ende of engelond, to caunterbury they wende, the holy blisful martir for to seke, that hem hath holpen, whan that they were seke.","2000-04-18","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-04-25","usdm","2000","04-25","USDM for 2000-04-25","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-04-25.png","Bifel that, in that sesoun on a day, in southwerk at the tabard as I lay redy to wenden on my pilgrimage to caunterbury with ful devout corage.","2000-04-25","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-05-02","usdm","2000","05-02","USDM for 2000-05-02","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-05-02.png","","2000-05-02","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-05-09","usdm","2000","05-09","USDM for 2000-05-09","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-05-09.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2000-05-09","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-05-16","usdm","2000","05-16","USDM for 2000-05-16","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-05-16.png","","2000-05-16","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-05-23","usdm","2000","05-23","USDM for 2000-05-23","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-05-23.png","But natheles, whyl I have tyme and space, er that I ferther in this tale pace, me thinketh it acordaunt to resoun, to telle yew al the condicioun.","2000-05-23","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-05-30","usdm","2000","05-30","USDM for 2000-05-30","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-05-30.png","Of ech of hem, so as it semed me, and whiche they weren, and of what degree; and eek in what array that they were inne: and at a knight than wol I first biginne.","2000-05-30","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-06-06","usdm","2000","06-06","USDM for 2000-06-06","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-06-06.png","","2000-06-06","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-06-13","usdm","2000","06-13","USDM for 2000-06-13","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-06-13.png","Ful worthy was he in his lordes werre, and thereto hadde he riden (no man ferre) as wel in cristendom as hethenesse, and evere honoured for his worthinesse.","2000-06-13","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-06-20","usdm","2000","06-20","USDM for 2000-06-20","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-06-20.png","","2000-06-20","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-06-27","usdm","2000","06-27","USDM for 2000-06-27","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-06-27.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2000-06-27","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-07-04","usdm","2000","07-04","USDM for 2000-07-04","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-07-04.png","That slepen al the night with open ye, so priketh hem nature in hir corages: than longen folk to goon on pilgrimages, and palmers for to seken straunge strondes, to ferne halwes, couthe in sondry londes.","2000-07-04","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-07-11","usdm","2000","07-11","USDM for 2000-07-11","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-07-11.png","","2000-07-11","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-07-18","usdm","2000","07-18","USDM for 2000-07-18","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-07-18.png","Bifel that, in that sesoun on a day, in southwerk at the tabard as I lay redy to wenden on my pilgrimage to caunterbury with ful devout corage.","2000-07-18","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-07-25","usdm","2000","07-25","USDM for 2000-07-25","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-07-25.png","","2000-07-25","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-08-01","usdm","2000","08-01","USDM for 2000-08-01","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-08-01.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2000-08-01","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-08-08","usdm","2000","08-08","USDM for 2000-08-08","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-08-08.png","And shortly, whan the sonne was to reste, so hadde I spoken with hem everichon, that I was of hir felawshipe anon, and made forward erly for to ryse, to take our wey, ther as I yow devyse.","2000-08-08","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-08-15","usdm","2000","08-15","USDM for 2000-08-15","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-08-15.png","","2000-08-15","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-08-22","usdm","2000","08-22","USDM for 2000-08-22","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-08-22.png","Of ech of hem, so as it semed me, and whiche they weren, and of what degree; and eek in what array that they were inne: and at a knight than wol I first biginne.","2000-08-22","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-08-29","usdm","2000","08-29","USDM for 2000-08-29","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-08-29.png","","2000-08-29","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-09-05","usdm","2000","09-05","USDM for 2000-09-05","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-09-05.png","Ful worthy was he in his lordes werre, and thereto hadde he riden (no man ferre) as wel in cristendom as hethenesse, and evere honoured for his worthinesse.","2000-09-05","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-09-12","usdm","2000","09-12","USDM for 2000-09-12","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-09-12.png","Whan that aprille with his shoures soote the droghte of marche hath perced to the roote, and bathed every veyne in swich licour, of which vertu engendred is the flour.","2000-09-12","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-09-19","usdm","2000","09-19","USDM for 2000-09-19","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-09-19.png","","2000-09-19","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-09-26","usdm","2000","09-26","USDM for 2000-09-26","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-09-26.png","That slepen al the night with open ye, so priketh hem nature in hir corages: than longen folk to goon on pilgrimages, and palmers for to seken straunge strondes, to ferne halwes, couthe in sondry londes.","2000-09-26","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-10-03","usdm","2000","10-03","USDM for 2000-10-03","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-10-03.png","","2000-10-03","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-10-10","usdm","2000","10-10","USDM for 2000-10-10","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-10-10.png","Bifel that, in that sesoun on a day, in southwerk at the tabard as I lay redy to wenden on my pilgrimage to caunterbury with ful devout corage.","2000-10-10","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-10-17","usdm","2000","10-17","USDM for 2000-10-17","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-10-17.png","At night was come in-to that hostelrye wel nyne and twenty in a compaignye, of sondry folk, by aventure y-falle.","2000-10-17","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-10-24","usdm","2000","10-24","USDM for 2000-10-24","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-10-24.png","","2000-10-24","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-10-31","usdm","2000","10-31","USDM for 2000-10-31","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-10-31.png","And shortly, whan the sonne was to reste, so hadde I spoken with hem everichon, that I was of hir felawshipe anon, and made forward erly for to ryse, to take our wey, ther as I yow devyse.","2000-10-31","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-11-07","usdm","2000","11-07","USDM for 2000-11-07","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-11-07.png","","2000-11-07","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-11-14","usdm","2000","11-14","USDM for 2000-11-14","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-11-14.png","Of ech of hem, so as it semed me, and whiche they weren, and of what degree; and eek in what array that they were inne: and at a knight than wol I first biginne.","2000-11-14","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-11-21","usdm","2000","11-21","USDM for 2000-11-21","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-11-21.png","A knight ther was, and that a worthy man, that fro the tyme that he first bigan to ryden out, he loved chivalrye, trouthe and honour, fredom and curteisye.","2000-11-21","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-11-28","usdm","2000","11-28","USDM for 2000-11-28","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-11-28.png","","2000-11-28","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-12-05","usdm","2000","12-05","USDM for 2000-12-05","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-12-05.png","Whan that aprille with his shoures soote the droghte of marche hath perced to the roote, and bathed every veyne in swich licour, of which vertu engendred is the flour.","2000-12-05","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-12-12","usdm","2000","12-12","USDM for 2000-12-12","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-12-12.png","","2000-12-12","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-12-19","usdm","2000","12-19","USDM for 2000-12-19","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-12-19.png","That slepen al the night with open ye, so priketh hem nature in hir corages: than longen folk to goon on pilgrimages, and palmers for to seken straunge strondes, to ferne halwes, couthe in sondry londes.","2000-12-19","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2000-12-26","usdm","2000","12-26","USDM for 2000-12-26","http://datasnapshots-images.nemac.com:8080/usdm/620/2000/usdm--620--2000-12-26.png","And specially, from every shires ende of engelond, to caunterbury they wende, the holy blisful martir for to seke, that hem hath holpen, whan that they were seke.","2000-12-26","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-01-02","usdm","2001","01-02","USDM for 2001-01-02","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-01-02.png","","2001-01-02","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-01-09","usdm","2001","01-09","USDM for 2001-01-09","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-01-09.png","At night was come in-to that hostelrye wel nyne and twenty in a compaignye, of sondry folk, by aventure y-falle.","2001-01-09","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-01-16","usdm","2001","01-16","USDM for 2001-01-16","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-01-16.png","","2001-01-16","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-01-23","usdm","2001","01-23","USDM for 2001-01-23","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-01-23.png","And shortly, whan the sonne was to reste, so hadde I spoken with hem everichon, that I was of hir felawshipe anon, and made forward erly for to ryse, to take our wey, ther as I yow devyse.","2001-01-23","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-01-30","usdm","2001","01-30","USDM for 2001-01-30","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-01-30.png","But natheles, whyl I have tyme and space, er that I ferther in this tale pace, me thinketh it acordaunt to resoun, to telle yew al the condicioun.","2001-01-30","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-02-06","usdm","2001","02-06","USDM for 2001-02-06","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-02-06.png","","2001-02-06","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-02-13","usdm","2001","02-13","USDM for 2001-02-13","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-02-13.png","A knight ther was, and that a worthy man, that fro the tyme that he first bigan to ryden out, he loved chivalrye, trouthe and honour, fredom and curteisye.","2001-02-13","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-02-20","usdm","2001","02-20","USDM for 2001-02-20","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-02-20.png","","2001-02-20","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-02-27","usdm","2001","02-27","USDM for 2001-02-27","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-02-27.png","Whan that aprille with his shoures soote the droghte of marche hath perced to the roote, and bathed every veyne in swich licour, of which vertu engendred is the flour.","2001-02-27","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-03-06","usdm","2001","03-06","USDM for 2001-03-06","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-03-06.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2001-03-06","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-03-13","usdm","2001","03-13","USDM for 2001-03-13","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-03-13.png","","2001-03-13","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-03-20","usdm","2001","03-20","USDM for 2001-03-20","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-03-20.png","And specially, from every shires ende of engelond, to caunterbury they wende, the holy blisful martir for to seke, that hem hath holpen, whan that they were seke.","2001-03-20","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-03-27","usdm","2001","03-27","USDM for 2001-03-27","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-03-27.png","","2001-03-27","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-04-03","usdm","2001","04-03","USDM for 2001-04-03","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-04-03.png","At night was come in-to that hostelrye wel nyne and twenty in a compaignye, of sondry folk, by aventure y-falle.","2001-04-03","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-04-10","usdm","2001","04-10","USDM for 2001-04-10","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-04-10.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2001-04-10","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-04-17","usdm","2001","04-17","USDM for 2001-04-17","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-04-17.png","","2001-04-17","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-04-24","usdm","2001","04-24","USDM for 2001-04-24","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-04-24.png","But natheles, whyl I have tyme and space, er that I ferther in this tale pace, me thinketh it acordaunt to resoun, to telle yew al the condicioun.","2001-04-24","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-05-01","usdm","2001","05-01","USDM for 2001-05-01","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-05-01.png","","2001-05-01","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-05-08","usdm","2001","05-08","USDM for 2001-05-08","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-05-08.png","A knight ther was, and that a worthy man, that fro the tyme that he first bigan to ryden out, he loved chivalrye, trouthe and honour, fredom and curteisye.","2001-05-08","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-05-15","usdm","2001","05-15","USDM for 2001-05-15","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-05-15.png","Ful worthy was he in his lordes werre, and thereto hadde he riden (no man ferre) as wel in cristendom as hethenesse, and evere honoured for his worthinesse.","2001-05-15","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-05-22","usdm","2001","05-22","USDM for 2001-05-22","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-05-22.png","","2001-05-22","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-05-29","usdm","2001","05-29","USDM for 2001-05-29","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-05-29.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2001-05-29","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-06-05","usdm","2001","06-05","USDM for 2001-06-05","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-06-05.png","","2001-06-05","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-06-12","usdm","2001","06-12","USDM for 2001-06-12","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-06-12.png","And specially, from every shires ende of engelond, to caunterbury they wende, the holy blisful martir for to seke, that hem hath holpen, whan that they were seke.","2001-06-12","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-06-19","usdm","2001","06-19","USDM for 2001-06-19","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-06-19.png","Bifel that, in that sesoun on a day, in southwerk at the tabard as I lay redy to wenden on my pilgrimage to caunterbury with ful devout corage.","2001-06-19","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-06-26","usdm","2001","06-26","USDM for 2001-06-26","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-06-26.png","","2001-06-26","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-07-03","usdm","2001","07-03","USDM for 2001-07-03","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-07-03.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2001-07-03","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-07-10","usdm","2001","07-10","USDM for 2001-07-10","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-07-10.png","","2001-07-10","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-07-17","usdm","2001","07-17","USDM for 2001-07-17","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-07-17.png","But natheles, whyl I have tyme and space, er that I ferther in this tale pace, me thinketh it acordaunt to resoun, to telle yew al the condicioun.","2001-07-17","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-07-24","usdm","2001","07-24","USDM for 2001-07-24","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-07-24.png","Of ech of hem, so as it semed me, and whiche they weren, and of what degree; and eek in what array that they were inne: and at a knight than wol I first biginne.","2001-07-24","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-07-31","usdm","2001","07-31","USDM for 2001-07-31","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-07-31.png","","2001-07-31","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-08-07","usdm","2001","08-07","USDM for 2001-08-07","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-08-07.png","Ful worthy was he in his lordes werre, and thereto hadde he riden (no man ferre) as wel in cristendom as hethenesse, and evere honoured for his worthinesse.","2001-08-07","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-08-14","usdm","2001","08-14","USDM for 2001-08-14","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-08-14.png","","2001-08-14","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-08-21","usdm","2001","08-21","USDM for 2001-08-21","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-08-21.png","Whan zephirus eek with his swete breeth inspired hath in every holt and heeth the tendre croppes, and the yonge sonne hath in the ram his halfe cours y-ronne, and smale fowles maken melodye.","2001-08-21","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-08-28","usdm","2001","08-28","USDM for 2001-08-28","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-08-28.png","That slepen al the night with open ye, so priketh hem nature in hir corages: than longen folk to goon on pilgrimages, and palmers for to seken straunge strondes, to ferne halwes, couthe in sondry londes.","2001-08-28","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-09-04","usdm","2001","09-04","USDM for 2001-09-04","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-09-04.png","","2001-09-04","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-09-11","usdm","2001","09-11","USDM for 2001-09-11","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-09-11.png","Bifel that, in that sesoun on a day, in southwerk at the tabard as I lay redy to wenden on my pilgrimage to caunterbury with ful devout corage.","2001-09-11","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-09-18","usdm","2001","09-18","USDM for 2001-09-18","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-09-18.png","","2001-09-18","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-09-25","usdm","2001","09-25","USDM for 2001-09-25","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-09-25.png","In felawshipe, and pilgrims were they alle, that toward caunterbury wolden ryde; the chambres and the stables weren wyde, and wel we weren esed atte beste.","2001-09-25","620 PX, 940 PX, High res","example.com,example.com,example.com"
"usdm-2001-10-02","usdm","2001","10-02","USDM for 2001-10-02","http://datasnapshots-images.nemac.com:8080/usdm/620/2001/usdm--620--2001-10-02.png","And shortly, whan the sonne was to reste, so hadde I spoken with hem everichon, that I was of hir felawshipe anon, and made forward erly for to ryse, to take our wey, ther as I yow devyse.","2001-10-02","620 PX, 940 PX, High res","example.com,example.com,example.com"
